Date,Event,Location,Venue,Organisers,Topic,Theme,Type,Attendees,Link,Pictures
20 April 2020,Independant Talk,Online,Webex,DevC Palestine,Launch your career in AI (LRAI),AI,Talk,17,https://scontent.ftun10-1.fna.fbcdn.net/v/t1.0-9/94103172_10222651623348155_2703312863472123904_o.jpg?_nc_cat=106&_nc_sid=825194&_nc_ohc=SQo0jYGoJ0gAX_4ahbS&_nc_ht=scontent.ftun10-1.fna&oh=0c4386534ad38780746130abaaabcda3&oe=5F6D731F,N/A
27 February 2020,6to8 talks,"Lac 1, Tunis",ODC,Orange,Al for non-coders,AI,Talk,27,https://www.facebook.com/858957884231798/videos/1288664178190301/,https://drive.google.com/open?id=1jc0M4FqPaXkCHQZoeFvTQcaoXpbm4WG-
23 February 2020,LRAI,Sfax,ENIS,IEEE CIS ENIS,Launch your career in AI (LRAI),AI,Workshop,40,https://www.facebook.com/CIS.ENIS/photos/a.112822680306545/112810790307734,https://drive.google.com/open?id=12IWsAPNQQ1VcJKBltihycnEUhmJw0Frn
22 February 2020,LRAI,Monastir,ENIM,ENIM Alumni,Launch your career in AI (LRAI),AI,Workshop,20,https://www.facebook.com/events/2566471776962592/,https://drive.google.com/open?id=18r2Mix2FH_Rx4N_xiKfQIh1HZa0_s_Ql
6 February 2020,Foire des sciences,Hamamet,Medina Hotel,ATAST,Motivational Speech,Motivational,Talk,123,https://m.facebook.com/events/819929811789573,N/A
2 February 2020,Tedx ENIB,Bizerte,Majestic,IEEE & Enactus ENIB,We have way more time than we think,Motivational,Talk,200,https://www.facebook.com/events/s/tedxenib-2020/608620969911242/?ti=cl&__mref=mb,https://drive.google.com/open?id=15DIwmCmJr_WwDXV8Fr1br0_KyBEkkVhI
1 February 2020,LRAI,"Manar, Tunis",ENIT,G2FOSS,Launch your career in AI (LRAI),AI,Workshop,45,https://www.facebook.com/events/158169305599029/,https://drive.google.com/open?id=1wKHlsCj1ReGGChHN8-zWydmtrrcFv-zX
30 January 2020,1st cultural and creative industries fair,"Tunis, Tunis",Culture City,Ticdce,AI in Culture,AI,Talk,7,https://www.facebook.com/events/522858521915002?__mref=mb,N/A
29 January 2020,212,"Campus, Manouba",ENSI,GDG ENSI,Natural Language Processing,AI,Workshop,30,https://www.facebook.com/events/213047986527719/,https://drive.google.com/drive/folders/1BNvhvR-PQvRlvETCXdWOemqHynUpEski?usp=sharing
28 January 2020,6to8 talks,"Lac 1, Tunis",ODC,Orange,How AI is copying from humans?,AI,Talk,27,https://www.facebook.com/858957884231798/videos/213668829792539/,https://drive.google.com/open?id=1jkWvBtq897GSRcIM8Psqko2LF3gol-Eq
28 January 2020,The National Forum on the Review of High School Computer Sciences Programs,Sousse,Imef,Ministry of Education,Why & How to integrate Data Science into the National High School Program,AI,Talk,21,https://www.facebook.com/profile.php?id=100023676900618&sk=media_set&set=a.621384308660794&type=3,https://drive.google.com/open?id=1kv2xn7_dbERp7L_yUc3QpUzvs1fnyYbf
25 January 2020,Independant workshop,"CUN, Ariana",INSAT,Aerobotix,Computer Vision & Embedded Devices,AI,Workshop,20,https://www.facebook.com/events/s/machine-learning/2457721457889563/?__mref=mb,https://drive.google.com/drive/folders/1J75hY17BWHDuK_rWk_5fb56A9PnpYe0p?usp=sharing
